country_code,indicator_code,indicator_name,year,value
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,3660.66104745322
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,3233.13339634212
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,2816.99384960555
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,2283.77299346126
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,1937.46411413019
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,1896.30020878013
DZA,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,1772.92869122761
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,18017.4589383973
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,15236.1604875571
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,14489.2586563775
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,12886.1359517218
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,12552.0546868861
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,11863.6839452565
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,12843.3342903627
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,12727.4102651386
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,12026.3344929488
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,11813.5022034589
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,11745.4899153958
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,10383.459331451
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,10375.1720141957
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,12156.0293905777
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,10030.8089130902
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,9231.37240924563
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,8745.16621137404
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,8831.26975996609
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,8958.42866697173
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,9197.66196836987
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,8972.69636535698
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,
ASM,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,49357.437070178
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,46812.448450114
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,42414.0590111349
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,42425.6996761083
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,37361.090067211
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,41257.8045861543
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,42819.774579353
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,40672.9943362327
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,40129.8192026671
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,38654.9347217207
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,44369.6596894579
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,42470.3161158563
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,41500.5435782722
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,46657.1561204071
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,42746.830952263
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,43975.0183658196
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,49132.5157047203
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,48336.2283340364
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,43467.210990395
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,40829.801878928
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,39021.1278078772
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,34063.5784040571
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,26528.1301571494
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,23511.2951466328
AND,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,21810.2487426174
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,2720.81900669715
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,2885.51349130806
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,3598.53669077341
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,2266.96834861584
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,1749.1794838482
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,2507.86807213642
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,2891.83032378747
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,2832.14997950512
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,2082.37343594705
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,3641.72893920253
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,5649.68762467535
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,5688.57916213471
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,5702.45306277434
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,5184.15269151846
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,4101.63715564669
